Rank,Peak,Title,Worldwide gross,Year,Ref
1,1,Avatar,"$2,923,706,026",2009,[# 1][# 2]
2,1,Avengers: Endgame,"$2,797,501,328",2019,[# 3][# 4]
3,3,Avatar: The Way of Water,"$2,320,250,281",2022,[# 5][# 6]
4,1,Titanic,"T$2,257,844,554",1997,[# 7][# 8]
5,3,Star Wars: The Force Awakens,"$2,068,223,624",2015,[# 9][# 10]
6,4,Avengers: Infinity War,"$2,048,359,754",2018,[# 11][# 12]
7,6,Spider-Man: No Way Home,"$1,922,598,800",2021,[# 13][# 14]
8,8,Inside Out 2 †,"$1,698,641,117",2024,[# 15][# 16]
9,3,Jurassic World,"$1,671,537,444",2015,[# 17][# 18]
10,7,The Lion King,"$1,656,943,394",2019,[# 19][# 4]
11,3,The Avengers,"$1,518,815,515",2012,[# 20][# 21]
12,4,Furious 7,"$1,515,341,399",2015,[# 22][# 23]
13,11,Top Gun: Maverick,"$1,495,696,292",2022,[# 24][# 25]
14,10,Frozen II,"$1,450,026,933",2019,[# 26][# 27]
15,14,Barbie,"$1,446,938,421",2023,[# 28][# 29]
16,5,Avengers: Age of Ultron,"$1,402,809,540",2015,[# 30][# 23]
17,15,The Super Mario Bros. Movie,"$1,362,566,989",2023,[# 31][# 32]
18,9,Black Panther,"$1,347,280,838",2018,[# 33][# 34]
19,3,Harry Potter and the Deathly Hallows – Part 2,"$1,342,139,727",2011,[# 35][# 36]
20,20,Deadpool & Wolverine †,"$1,338,073,645",2024,[# 37][# 38]
21,9,Star Wars: The Last Jedi,"$1,332,539,889",2017,[# 39][# 40]
22,12,Jurassic World: Fallen Kingdom,"$1,308,473,425",2018,[# 41][# 12]
23,5,Frozen,"F$1,290,000,000",2013,[# 42][# 43]
24,10,Beauty and the Beast,"$1,263,521,126",2017,[# 44][# 45]
25,15,Incredibles 2,"$1,242,805,359",2018,[# 46][# 12]
26,11,The Fate of the Furious,"F8$1,238,764,765",2017,[# 47][# 45]
27,5,Iron Man 3,"$1,214,811,252",2013,[# 48][# 49]
28,10,Minions,"$1,159,444,662",2015,[# 50][# 18]
29,12,Captain America: Civil War,"$1,153,337,496",2016,[# 51][# 52]
30,20,Aquaman,"$1,148,528,393",2018,[# 53][# 12]
31,2,The Lord of the Rings: The Return of the King,"$1,147,997,407",2003,[# 54][# 55]
32,24RK,Spider-Man: Far From Home,"$1,132,679,685",2019,[# 56][# 4]
33,23RK,Captain Marvel,"$1,128,274,794",2019,[# 57][# 58]
34,5RK,Transformers: Dark of the Moon,"$1,123,794,079",2011,[# 59][# 36]
35,7,Skyfall,"$1,108,594,137",2012,[# 60][# 61]
36,10,Transformers: Age of Extinction,"$1,104,054,072",2014,[# 62][# 63]
37,7,The Dark Knight Rises,"$1,081,169,825",2012,[# 64][# 65]
38,31,Joker,"$1,074,458,282",2019,[# 66][# 27]
39,32,Star Wars: The Rise of Skywalker,"$1,074,144,248",2019,[# 67][# 27]
40,30,Toy Story 4,"$1,073,394,593",2019,[# 68][# 4]
41,4TS3,Toy Story 3,"$1,066,970,811",2010,[# 69][# 70]
42,3,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747",2006,[# 71][# 72]
43,20,Rogue One: A Star Wars Story,"$1,057,420,387",2016,[# 73][# 74]
44,34,Aladdin,"$1,050,693,953",2019,[# 75][# 4]
45,2,Star Wars: Episode I – The Phantom Menace,"$1,046,515,409",1999,[# 76][# 8]
46,6,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",2011,[# 77][# 70]
47,1,Jurassic Park,"$1,037,535,230",1993,[# 78][# 79]
48,24,Despicable Me 3,"$1,034,800,131",2017,[# 80][# 45]
49,22,Finding Dory,"$1,028,570,942",2016,[# 81][# 82]
50,5,Alice in Wonderland,"$1,025,468,216",2010,[# 83][# 84]
